Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
IE/SPO.IE.IE005APSample1_5,5,2018-01-01,2018-01-02,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-02,2018-01-03,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-03,2018-01-04,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-04,2018-01-05,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-05,2018-01-06,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-06,2018-01-07,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-07,2018-01-08,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-08,2018-01-09,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-09,2018-01-10,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-10,2018-01-11,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-11,2018-01-12,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-12,2018-01-13,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-13,2018-01-14,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-14,2018-01-15,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-15,2018-01-16,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-16,2018-01-17,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-17,2018-01-18,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-18,2018-01-19,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-19,2018-01-20,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-20,2018-01-21,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
IE/SPO.IE.IE005APSample1_5,5,2018-01-21,2018-01-22,-999.000000000000000000,ug.m-3,day,-1,1,2019-09-29 22:47:09,0E-18,af7af42e-4406-4754-821e-8bf47655d3f3
